inin start
inin done
load start
load done
epoch 0 5673558.000000
epoch 1 1788195.750000
epoch 2 1171685.250000
epoch 3 888244.875000
epoch 4 711778.687500
epoch 5 599676.937500
epoch 6 512449.718750
epoch 7 449293.875000
epoch 8 401714.093750
epoch 9 363723.593750
epoch 10 327766.531250
epoch 11 303980.906250
epoch 12 281494.843750
epoch 13 260213.921875
epoch 14 247271.015625
epoch 15 230368.187500
epoch 16 213810.500000
epoch 17 202619.109375
epoch 18 192251.375000
epoch 19 182085.390625
epoch 20 174691.078125
epoch 21 168751.140625
epoch 22 161189.093750
epoch 23 152138.703125
epoch 24 145598.750000
epoch 25 141339.343750
epoch 26 137630.296875
epoch 27 132114.906250
epoch 28 128553.289062
epoch 29 124978.906250
epoch 30 119553.765625
epoch 31 112713.406250
epoch 32 112396.085938
epoch 33 109594.820312
epoch 34 106503.828125
epoch 35 103740.890625
epoch 36 102425.945312
epoch 37 98158.835938
epoch 38 94619.062500
epoch 39 93165.289062
epoch 40 89916.281250
epoch 41 87382.679688
epoch 42 87166.390625
epoch 43 83882.835938
epoch 44 81224.968750
epoch 45 82082.164062
epoch 46 80523.046875
epoch 47 78471.414062
epoch 48 76524.640625
epoch 49 74398.320312
epoch 50 74702.539062
epoch 51 72168.375000
epoch 52 70891.171875
epoch 53 69469.656250
epoch 54 67553.406250
epoch 55 66203.960938
epoch 56 65380.339844
epoch 57 65538.046875
epoch 58 64377.175781
epoch 59 63327.542969
epoch 60 61724.265625
epoch 61 60410.980469
epoch 62 59062.722656
epoch 63 59101.046875
epoch 64 58281.769531
epoch 65 57575.320312
epoch 66 56911.132812
epoch 67 55807.421875
epoch 68 54849.496094
epoch 69 53600.839844
epoch 70 52733.457031
epoch 71 52555.894531
epoch 72 52443.632812
epoch 73 51102.863281
epoch 74 50658.953125
epoch 75 49911.781250
epoch 76 48133.945312
epoch 77 48707.101562
epoch 78 47960.628906
epoch 79 47067.812500
epoch 80 47669.859375
epoch 81 46744.742188
epoch 82 45969.835938
epoch 83 45001.593750
epoch 84 44961.265625
epoch 85 43862.078125
epoch 86 42911.363281
epoch 87 44234.128906
epoch 88 43026.492188
epoch 89 42268.207031
epoch 90 41733.000000
epoch 91 41371.476562
epoch 92 41748.230469
